	my	name	is	javad	pourmostafa	and	i	am	from	guilan	nlp	group	at	the	university	of	.
0	-0.12685862	-0.33299124	0.035927236	-0.4044768	0.068896346	-0.03153342	-0.40082616	0.17995131	0.07412308	0.4946328	0.05151044	-0.029058676	0.084657155	-0.06533351	0.041453384	0.048803896	-0.11112368
1	0.15288293	0.5226846	0.14517067	-0.49423835	-0.5446464	0.0462785	0.13992226	0.13175327	-0.24448808	-0.1461195	-0.584485	-0.20126127	-0.22583559	-0.093030594	-0.17245455	-0.2852779	-0.0013858825
2	0.14903277	-0.0018576493	0.11925909	-0.3944445	-0.1725253	-0.12534022	0.12907307	0.13689914	-0.20992944	-0.23697057	-0.39926514	0.09096456	0.09645142	-0.017570693	-0.110032156	0.018557359	-0.17779872
3	0.039269045	-0.043741327	0.07883557	0.11149967	0.07063236	0.19164912	-0.11843852	-0.041665018	0.067706846	-0.6921791	0.7347463	0.10737046	0.10083796	0.20006956	0.13727842	0.20576969	0.064507596
4	-0.13052416	0.028670631	-0.047748104	-0.06859759	-0.37623686	-0.12659858	-0.24409203	-0.2888285	-0.06905508	-0.39193317	-0.47139016	-0.2187353	-0.32226843	0.029521415	-0.2160748	0.06070386	-0.24037443
5	-0.038069367	-0.014818203	0.10095674	-0.40000713	-0.35365686	-0.012853059	-0.07149621	-0.19675003	0.02407047	0.097481325	-0.31493196	0.35405526	0.06084022	-0.039920297	-0.18946879	0.085446015	0.03108716
6	-0.16230041	-0.2763415	0.0908154	0.12442909	0.17790467	0.10342346	-0.12624407	-0.07870657	0.039651096	0.053555124	0.3330604	0.1420482	-0.1409767	-0.16328034	0.020978969	-0.036267497	-0.030143656
7	-0.002766341	-0.09748854	-0.22176012	-0.12550667	-0.028620321	-0.009808491	-0.105379015	0.006160453	-0.075542904	0.053148996	-0.20653524	-0.12728553	0.042526044	-0.07294594	-0.07946377	-0.06837314	-0.36882758
8	0.12118591	0.14215982	-0.09508526	-0.3906016	-0.54782397	0.1518941	0.021208793	0.11629814	0.14965147	0.2239857	0.047605913	-0.21023719	0.25177145	0.089603506	0.25170648	0.1450674	-0.043854654
9	0.14202456	0.30275437	-0.022609614	-0.26149648	0.2682124	0.2758219	0.17554036	0.07794887	0.22772044	-0.079410866	-0.019802008	0.14209028	-0.15139109	0.0809066	0.34704503	0.1785174	0.24830753
10	0.41120797	0.16190174	0.007650107	-0.07651417	-0.17154536	0.13695426	0.32066488	-0.08808234	0.23997359	0.50663674	-0.13030353	-0.12338593	0.28945765	-0.04003219	0.0708033	0.14579242	0.07863292
11	-0.24458751	-0.12333678	0.043769985	-0.42147827	-0.35249755	0.00887986	-0.076655425	-0.03987768	-0.15624864	-0.11150654	-0.13174914	-0.0037049097	-0.22224063	-0.23624368	-0.06709552	-0.13630489	-0.16072206
12	-0.09640971	0.17886628	0.051050678	-0.25236762	-0.20099281	0.14132118	-0.11598697	-0.20684013	-0.13644914	0.021107912	-0.17903592	0.042868916	0.14714578	0.18250139	-0.0052297106	0.23348099	0.105282426
13	0.23814666	-0.3077302	-0.09737831	-0.37099847	-0.11575291	-0.12000123	0.18179938	0.28626925	-0.16233146	-0.47252786	0.5104098	-0.21500993	0.21936546	-0.061240703	-0.1526223	0.029757772	-0.09621957
14	0.0828058	0.015615104	-0.037446454	-0.1194727	0.09832239	-0.063438974	0.09439632	0.23380677	-0.13600333	0.03793184	0.6007077	-0.2436482	0.017640516	-0.06438605	0.15631928	-0.22001106	-0.07774189
15	-0.12634093	-0.2662531	0.04530865	-0.19231082	-0.40893263	-0.15177612	-0.18509325	-0.15377235	-0.047394026	-0.2604497	0.1940375	0.08898275	-0.07588154	-0.07525833	-0.27247527	-0.0045514554	-0.28262112
16	0.06912131	0.049347933	0.0008763373	-0.52428824	0.09943353	0.0980898	0.067021236	-0.006923437	-0.22721542	0.1912653	0.31842738	-0.20139267	-0.054542027	-0.050075803	0.23584747	-0.11197488	-0.13013476
17	0.08522959	-0.0594002	-0.124973856	0.4155075	-0.2160792	-0.12010249	0.18963048	-0.27842966	-0.02057843	-0.19628367	0.289386	-0.18700166	-0.0199669	-0.02000051	0.13001949	-0.041366667	0.0056083202
18	-0.0007368475	-0.21275418	0.029659465	0.22535063	-0.5380289	-0.06908609	-0.1167446	0.030471548	0.2185252	0.06909512	0.17630257	-0.029284105	0.02313602	0.003496034	-0.2415859	0.08423099	0.19405985
19	0.07168882	0.32916546	0.069824904	0.23219776	0.49367744	0.014666447	0.007554412	0.09146559	-0.057742596	0.23259401	0.65599215	0.2975042	0.343173	0.1448695	0.35073075	0.07667261	0.19286662
20	-0.081899166	-0.10043331	-0.16091236	-0.021426642	0.059861097	-0.023040738	0.20717517	-0.034664266	-0.25380465	-0.06804924	-0.36232167	-0.22009097	0.192693	-0.167906	-0.067959085	-0.24460877	-0.10954568
21	0.10051751	0.26311478	0.17420329	0.6728836	0.3980175	0.030430267	-0.085269704	0.37186575	0.07426014	0.02388814	0.16857475	0.15599188	0.06060955	0.07685187	0.26695246	0.053593345	0.23007746
22	-0.11608912	-0.16864039	-0.32899234	-0.46316615	-0.021733608	-0.12664157	-0.082318366	-0.27962583	-0.4313004	-0.124188446	0.30526763	-0.2580938	-0.4119585	-0.22976604	-0.43149045	-0.10939471	-0.19911274
23	-0.07657239	-0.10542311	-0.18290094	0.10837898	0.3244349	-0.06328169	-0.48372373	-0.44770965	0.07078697	-0.14081371	-0.02218884	0.060085826	-0.14237007	-0.05793655	-0.42168576	-0.12467634	0.18836348
24	-0.01088196	-0.15076593	-0.006537199	-0.23672022	0.049763452	-0.082246326	-0.19477141	0.20915374	-0.13236246	0.0038314932	-0.007783345	-0.1406022	-0.11288136	-0.13408451	0.22754456	-0.20289889	-0.21861285
25	0.0911623	-0.11826767	0.05893441	-0.56215394	-0.45976704	0.03671773	0.016658172	0.0064103305	0.009076157	0.016275596	-0.03679172	-0.1964396	-0.19504274	-0.07358624	-0.29609093	0.07456502	0.0017504692
26	-0.018305186	0.13684234	0.019552384	0.5936324	0.15818158	0.22697803	0.1303679	0.516699	0.04137498	0.3557135	0.1667019	0.1670084	0.10920807	-0.001257475	-0.04553269	0.106595606	-0.093016714
27	0.08349074	0.106449544	0.1968105	0.84070957	0.25955543	-0.09602522	-0.08229035	-0.19932802	-0.17293262	0.21064728	0.2844618	-0.18225764	-0.065238535	0.019708354	0.19175477	0.054338932	-0.2506402
28	-0.28908873	-0.38674372	-0.14455998	0.40055183	0.21716334	-0.011699081	-0.12701188	0.1364133	-0.13687709	-0.1354512	-0.082670316	-0.24894604	0.17813505	0.056866273	0.09168945	0.08826773	0.034323245
29	0.22773713	-0.05481418	0.08574537	0.17463818	0.4571751	0.06615827	0.07785326	0.24753636	0.047738396	0.003546172	-0.097872294	0.16927426	0.22520517	0.06250027	0.23847201	0.22557397	0.1704689
30	-0.07899965	0.12979959	-0.07195841	0.18885843	-0.055909697	-0.18541633	0.10845082	0.22427733	-0.096344635	0.22820239	-0.05631779	-0.067321576	-0.14425473	-0.15555492	0.014621411	-0.029081136	-0.09440813
31	0.3035353	0.10828197	0.37731874	-0.010106628	-0.51197946	0.1922302	0.04853201	0.3102287	0.35733858	0.035585966	0.43762925	0.32510605	0.19108063	0.15206705	0.34661078	0.29800344	0.14420289
32	-0.16983476	-0.21606633	-0.3403931	0.037040792	-0.40543067	-0.061685394	-0.13885272	-0.26444525	-0.064074256	0.32003668	0.05082546	0.12801301	-0.051248964	-0.10629019	-0.34136736	-0.16129081	-0.185327
33	0.14701062	-0.010433241	0.027648384	-0.39067075	-0.14205329	0.27048805	-0.023351602	-0.2537935	0.3150038	0.07442738	0.15180056	0.070103124	0.3514018	0.24670114	0.18780439	0.3641873	0.16849822
34	-0.54161483	-0.09409517	0.012375474	-0.06099377	0.08259185	0.07511638	-0.060822994	-0.55799747	0.043261725	0.19505343	0.09621305	-0.32596028	-0.0335159	-0.027853431	0.2384292	0.07397756	-0.16581795
35	-0.010469198	-0.16098504	-0.1595879	0.060280174	-0.18842575	-0.054928135	-0.31838977	-0.3275688	-0.039827652	0.22939648	-0.34512123	-0.3268562	-0.10391334	-0.17702757	-0.27736634	-0.08956078	-0.061712027
36	-0.1702359	-0.06518006	-0.14646447	-0.07199018	-0.004041487	-0.086026825	-0.019553639	0.05053532	0.26391697	0.039615884	-0.13908608	0.14342964	-0.15865648	0.0072058104	0.28383237	-0.041104063	-0.010345712
37	-0.14112881	-0.03125057	0.16193776	0.38959053	0.16216522	-0.19386943	-0.18850192	-0.35978988	-0.007783532	-0.19359133	0.29932913	-0.056766298	-0.04648002	-0.11940577	-0.23550951	-0.24277198	-0.07881704
38	-0.14119168	-0.0741084	0.09252325	0.23118599	-0.16630508	0.14677249	-0.031727806	0.009948447	0.12459964	-0.065135404	-0.15840024	-0.36889777	0.26894313	0.08384306	-0.14484859	-0.0058010444	0.20595545
39	-0.33624646	0.026461532	-0.0876372	0.3234171	-0.48507288	-0.06013036	-0.34550047	0.1833331	-0.06212517	0.25099397	0.05301108	0.018617861	-0.05465263	-0.118432984	-0.28812626	-0.0628379	-0.122860506
40	0.20371325	-0.17202695	-0.059375085	0.0120328115	-0.020436255	0.068269424	0.053967297	-0.15148418	0.04964589	-0.24515413	-0.16606472	0.24169087	0.026267707	0.05361222	0.14773953	0.06176558	-0.06403542
